FUELANNUAL	HSVAL	GOR_DV	YEAR	HHSIZE	HHTYPE_DV	HSBEDS	TENURE_DV	NEMP_DV	NKIDS_DV	NPENS_DV	NUE_DV	LKMOVE	XPMOVE	FIHHMNGRS_DV	FIYRDIC_DV	FINNOW	FINFUT	SAVE	JBSTAT	SF1	RACEL_DV	BIRTHY	SEX	NCARS	ENVHABIT1_A	ENVHABIT3_A	ENVHABIT4_A	ENVHABIT6_A	ENVHABIT8_A	FUELDUEL	HEATCH	HHEAT	AGE	REGION	LONDON	LAT	LONG	NSAMPLES	T.FUEL	T.HVAL	T.HHINCOME	T.HHSAV
1300	25e4	3	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned outright	2	0	1	2	Wants to stay	Not expecting to move	7266.67	1400	1	3	No monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1949	Male	3	2	5	4	3	2	One bill	Some form of central heating	Yes	62	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9070795690018284	0.9229800349228452	0.8304979515495403	0.6308783741528097
1240	35e4	3	2011	1	1 male, aged 65+, no children	4	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	2090	1e3	2	2	Monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1933	Male	1	5	5	5	3	3	One bill	Some form of central heating	Yes	78	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9043714527487479	0.9363316907606686	0.7750199352019743	0.6103959998154596
1e3	45e4	3	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	2	0	1	0	Wants to stay	Not expecting to move	3114.08	4416	1	2	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Male	1	5	1	5	1	2	One bill	No central heating	Yes	64	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8928550472519883	0.9475542971197577	0.7890769855512608	0.7121051747578635
1e3	45e4	3	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	2	0	1	0	Wants to stay	Not expecting to move	3114.08	0	1	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Female	1	5	2	5	3	2	One bill	No central heating	Yes	64	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8928550472519883	0.9475542971197577	0.7890769855512608	0.5117662727140687
1600	2e5	1	2011	2	Couple both under pensionable age, no children	4	Owned with mortgage	1	0	0	1	Wants to stay	Not expecting to move	2362.17	50	4	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1984	Female	0	5	1	4	2	2	One bill	Some form of central heating	Yes	27	North East	Not London	55.01955266	-1.90526457	111	0.9197419080378062	0.9152191456659423	0.778977505862903	0.5206740901984966
1500	21e4	3	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	1	0	2	1	Wants to stay	Not expecting to move	2483.84	39.47079086303711	2	2	Monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Male	1	4	1	2	1	2	Separate	Some form of central heating	Yes	68	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9156735367000481	0.9168411215550107	0.7806913803980341	0.5188752614983547
1500	21e4	3	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	1	0	2	1	Wants to stay	Not expecting to move	2483.84	138.165771484375	1	2	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1945	Female	1	4	1	2	2	3	Separate	Some form of central heating	Yes	66	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9156735367000481	0.9168411215550107	0.7806913803980341	0.5343909092852502
1102	215e3	3	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	2033.1	0	1	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Male	1	5	1	3	0	2	Separate	Some form of central heating	Yes	69	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8978905600365	0.9176383378631994	0.7741698715316542	0.5117662727140687
1102	215e3	3	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	2033.1	138.165771484375	1	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Female	1	5	4	3	1	4	Separate	Some form of central heating	Yes	68	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8978905600365	0.9176383378631994	0.7741698715316542	0.5343909092852502
1276	18e4	3	2011	1	1 male, aged 65+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	876.206	39.47079086303711	2	2	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1938	Male	1	5	5	3	1	2	Separate	Some form of central heating	Yes	73	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9060039348429246	0.9118588562794454	0.7548531801553238	0.5188752614983547
1400	35e4	3	2011	4	3 or more adults, no children, incl. at least one couple	5	Owned with mortgage	4	0	0	0	Wants to stay	Not expecting to move	8581.94	138.165771484375	2	3	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Female	2	4	2	2	3	2	One bill	Some form of central heating	Yes	55	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9114565156852393	0.9363316907606686	0.8404170966427235	0.5343909092852502
1400	35e4	3	2011	4	3 or more adults, no children, incl. at least one couple	5	Owned with mortgage	4	0	0	0	Wants to stay	Not expecting to move	8581.94	0	1	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1954	Male	2	5	5	5	3	4	One bill	Some form of central heating	Yes	57	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9114565156852393	0.9363316907606686	0.8404170966427235	0.5117662727140687
1400	35e4	3	2011	4	3 or more adults, no children, incl. at least one couple	5	Owned with mortgage	4	0	0	0	Wants to stay	Not expecting to move	8581.94	39.47079086303711	1	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1992	Male	2	2	3	4	3	2	One bill	Some form of central heating	Yes	19	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9114565156852393	0.9363316907606686	0.8404170966427235	0.5188752614983547
1400	35e4	3	2011	4	3 or more adults, no children, incl. at least one couple	5	Owned with mortgage	4	0	0	0	Wants to stay	Not expecting to move	8581.94	150	1	1	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1988	Male	2	3	3	4	2	2	One bill	Some form of central heating	Yes	23	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9114565156852393	0.9363316907606686	0.8404170966427235	0.5360724533155292
2400	4e5	3	2011	2	Couple both under pensionable age, no children	5	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	16187.3	848.16278076171875	1	3	Monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1971	Male	2	1	1	2	2	3	Separate	Some form of central heating	Yes	40	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.947970708368196	0.9421658928868588	0.8828046816522654	0.6010921734481467
2400	4e5	3	2011	2	Couple both under pensionable age, no children	5	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	16187.3	0	1	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1983	Female	2	1	1	3	4	2	Separate	Some form of central heating	Yes	28	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.947970708368196	0.9421658928868588	0.8828046816522654	0.5117662727140687
956	175e3	3	2011	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned with mortgage	2	1	0	1	Wants to move	Not expecting to move	2946.13	262.5853576660156	2	1	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1957	Female	2	1	1	4	1	2	Separate	Some form of central heating	Yes	54	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8906131567506507	0.9109931687237106	0.7869183349353847	0.5505804238401865
956	175e3	3	2011	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned with mortgage	2	1	0	1	Wants to stay	Not expecting to move	2946.13	0	2	1	Monthly savings	Full-time student	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1992	Male	2	2	1	3	2	1	Separate	Some form of central heating	Yes	19	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8906131567506507	0.9109931687237106	0.7869183349353847	0.5117662727140687
1200	22e4	3	2011	5	Couple with 3 or more children	4	Owned with mortgage	2	2	0	1	Wants to move	Not expecting to move	3613.33	0	3	2	Monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1966	Male	1	5	5	4	1	1	One bill	Some form of central heating	Yes	45	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9025300868744667	0.9184266468919243	0.7952013219687777	0.5117662727140687
1200	22e4	3	2011	5	Couple with 3 or more children	4	Owned with mortgage	2	2	0	1	Wants to move	Not expecting to move	3613.33	0	3	2	Monthly savings	In paid employment (full or part-time)	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1971	Female	1	1	5	4	1	5	One bill	Some form of central heating	Yes	40	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9025300868744667	0.9184266468919243	0.7952013219687777	0.5117662727140687
1200	22e4	3	2011	5	Couple with 3 or more children	4	Owned with mortgage	2	2	0	1	Wants to stay	Not expecting to move	3613.33	0	3	1	No monthly savings	Full-time student	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1993	Male	1	6	1	3	0	5	One bill	Some form of central heating	Yes	18	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9025300868744667	0.9184266468919243	0.7952013219687777	0.5117662727140687
1100	19e4	3	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	1	0	2	1	Wants to stay	Expect moving	2442.24	2500	1	3	Monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1937	Male	1	2	1	4	2	2	Separate	Some form of central heating	Yes	74	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8977939067228682	0.9135590037438859	0.7801090935614448	0.6700828045816348
1300	18e4	3	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to stay	Not expecting to move	4642.53	848.16278076171875	4	2	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1953	Male	3	3	4	4	4	3	One bill	Some form of central heating	Yes	58	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9070795690018284	0.9118588562794454	0.8066362750277413	0.6010921734481467
1300	18e4	3	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to stay	Not expecting to move	4642.53	848.16278076171875	4	2	No monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1955	Female	3	5	5	4	4	0	One bill	Some form of central heating	Yes	56	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9070795690018284	0.9118588562794454	0.8066362750277413	0.6010921734481467
1300	18e4	3	2011	4	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to move	Expect moving	4642.53	0	3	3	No monthly savings	Full-time student	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1989	Female	3	5	1	5	4	3	One bill	Some form of central heating	Yes	22	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9070795690018284	0.9118588562794454	0.8066362750277413	0.5117662727140687
1440	12e4	3	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	3810.5	2	3	1	Monthly savings	Looking after family or home	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1960	Female	2	3	5	3	3	3	One bill	Some form of central heating	Yes	51	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9131618559481246	0.9006957705021716	0.7975086340468686	0.5121413524520532
1440	12e4	3	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	3810.5	0	2	1	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1958	Male	2	5	5	3	2	2	One bill	Some form of central heating	Yes	53	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9131618559481246	0.9006957705021716	0.7975086340468686	0.5117662727140687
1440	12e4	3	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	3	0	0	0	Wants to move	Not expecting to move	3810.5	0	2	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1991	Female	2	5	5	3	0	2	One bill	Some form of central heating	Yes	20	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9131618559481246	0.9006957705021716	0.7975086340468686	0.5117662727140687
1200	25e4	3	2011	2	Couple both under pensionable age, no children	4	Owned outright	1	0	0	1	Wants to move	Not expecting to move	2977.1	262.5853576660156	1	2	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1953	Male	2	2	5	2	1	1	One bill	Some form of central heating	Yes	58	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9025300868744667	0.9229800349228452	0.7873203431515655	0.5505804238401865
1200	25e4	3	2011	2	Couple both under pensionable age, no children	4	Owned outright	1	0	0	1	Wants to move	Not expecting to move	2977.1	262.5853576660156	1	2	Monthly savings	Looking after family or home	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Female	2	5	4	4	3	1	One bill	Some form of central heating	Yes	59	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9025300868744667	0.9229800349228452	0.7873203431515655	0.5505804238401865
1500	3e5	3	2011	4	Couple with 2 children	4	Owned with mortgage	2	2	0	0	Wants to move	Not expecting to move	6560.07	0	3	3	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1967	Male	2	5	5	2	4	2	One bill	Some form of central heating	Yes	44	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9156735367000481	0.9299712188873211	0.8246749737333458	0.5117662727140687
1500	3e5	3	2011	4	Couple with 2 children	4	Owned with mortgage	2	2	0	0	Wants to stay	Not expecting to move	6560.07	0	1	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1978	Female	2	5	4	2	2	2	One bill	Some form of central heating	Yes	33	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9156735367000481	0.9299712188873211	0.8246749737333458	0.5117662727140687
1e3	25e4	3	2011	1	1 female, age 60+, no children	2	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	101.514	138.165771484375	1	3	Monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1916	Female	0	5	5	1	1	5	One bill	Some form of central heating	Yes	95	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8928550472519883	0.9229800349228452	0.7390939021357018	0.5343909092852502
1800	25e4	3	2011	5	Couple with 3 or more children	3	Owned with mortgage	2	3	0	0	Wants to stay	Not expecting to move	5952.84	0	2	2	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1973	Female	2	5	1	4	2	2	One bill	Some form of central heating	Yes	38	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9274721971013743	0.9229800349228452	0.8193476159737234	0.5117662727140687
936	225e3	3	2011	1	1 male, aged 65+, no children	2	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	2430.08	0	3	2	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1934	Male	1	5	1	2	3	3	One bill	Some form of central heating	Yes	77	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8895795409950731	0.9192062454855301	0.7799381654133296	0.5117662727140687
1e3	45e4	3	2011	1	1 adult under pensionable age, no children	4	Owned outright	0	0	0	1	Wants to stay	Not expecting to move	11.5138	138.165771484375	2	1	Monthly savings	Doing something else	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1955	Male	2	1	1	4	2	2	One bill	Some form of central heating	Yes	56	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8928550472519883	0.9475542971197577	0.7370683151162423	0.5343909092852502
1200	24e4	3	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	2342.85	848.16278076171875	2	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1935	Male	1	4	5	1	3	2	One bill	Some form of central heating	Yes	76	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9025300868744667	0.9214946519498315	0.778702300583923	0.6010921734481467
1200	24e4	3	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	2342.85	300	1	3	Monthly savings	Retired	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1946	Female	1	5	5	4	5	3	One bill	Some form of central heating	Yes	65	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.9025300868744667	0.9214946519498315	0.778702300583923	0.5548949588572321
1400	14e4	4	2011	2	Couple both under pensionable age, no children	4	Owned with mortgage	2	0	0	0	Wants to move	Not expecting to move	3650	0	2	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1958	Female	2	5	3	3	2	2	Separate	Some form of central heating	Yes	53	East Midlands	Not London	52.92678155	-0.80578746	229	0.9114565156852393	0.9046163482722873	0.7956349869905737	0.5117662727140687
1400	14e4	4	2011	2	Couple both under pensionable age, no children	4	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3650	0	2	2	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1962	Male	2	5	5	3	2	2	Separate	Some form of central heating	Yes	49	East Midlands	Not London	52.92678155	-0.80578746	229	0.9114565156852393	0.9046163482722873	0.7956349869905737	0.5117662727140687
440	14e4	4	2011	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	1787	0	3	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1989	Female	2	1	3	5	2	1	One bill	Some form of central heating	Yes	22	East Midlands	Not London	52.92678155	-0.80578746	229	0.8604445781640068	0.9046163482722873	0.7703968707157867	0.5117662727140687
1e3	19e4	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1532.9	138.165771484375	1	3	No monthly savings	Retired	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Female	2	5	5	3	2	1	One bill	Some form of central heating	Yes	67	East Midlands	Not London	52.92678155	-0.80578746	229	0.8928550472519883	0.9135590037438859	0.7663259649158118	0.5343909092852502
1e3	19e4	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1532.9	262.5853576660156	2	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1945	Male	2	5	1	5	1	2	One bill	Some form of central heating	Yes	66	East Midlands	Not London	52.92678155	-0.80578746	229	0.8928550472519883	0.9135590037438859	0.7663259649158118	0.5505804238401865
1300	8e4	4	2011	2	Couple both under pensionable age, no children	2	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3034.17	0	1	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1961	Female	1	2	1	1	1	1	Separate	Some form of central heating	Yes	50	East Midlands	Not London	52.92678155	-0.80578746	229	0.9070795690018284	0.8921335286600595	0.7880564266471333	0.5117662727140687
1300	8e4	4	2011	2	Couple both under pensionable age, no children	2	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3034.17	10	1	3	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1959	Male	1	3	1	1	1	1	Separate	Some form of central heating	Yes	52	East Midlands	Not London	52.92678155	-0.80578746	229	0.9070795690018284	0.8921335286600595	0.7880564266471333	0.5136251215114191
1100	15e4	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1916.58	0	2	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Female	1	5	4	2	1	2	One bill	Some form of central heating	Yes	68	East Midlands	Not London	52.92678155	-0.80578746	229	0.8977939067228682	0.906497856712875	0.7724033822130607	0.5117662727140687
1100	15e4	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1916.58	3	1	2	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Male	1	5	3	2	1	2	One bill	Some form of central heating	Yes	69	East Midlands	Not London	52.92678155	-0.80578746	229	0.8977939067228682	0.906497856712875	0.7724033822130607	0.5123282652572118
1800	95e3	4	2011	6	3 or more adults, 1-2 children, incl. at least one couple	3	Owned with mortgage	2	2	0	2	Wants to stay	Not expecting to move	5355.09	0	1	3	No monthly savings	Unemployed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1981	Female	1	5	5	3	4	3	Separate	Some form of central heating	Yes	30	East Midlands	Not London	52.92678155	-0.80578746	229	0.9274721971013743	0.89546730389725	0.8137726504193061	0.5117662727140687
1100	2e5	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	1	0	1	1	Wants to stay	Not expecting to move	4376.95	1500	1	3	No monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1950	Male	2	1	2	4	3	1	Separate	Some form of central heating	Yes	61	East Midlands	Not London	52.92678155	-0.80578746	229	0.8977939067228682	0.9152191456659423	0.8038230933945473	0.6353029529975495
1100	2e5	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	1	0	1	1	Wants to stay	Not expecting to move	4376.95	1500	1	3	Monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1950	Female	2	2	1	1	2	2	Separate	Some form of central heating	Yes	61	East Midlands	Not London	52.92678155	-0.80578746	229	0.8977939067228682	0.9152191456659423	0.8038230933945473	0.6353029529975495
800	29e4	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	1	2	Wants to stay	Not expecting to move	1091.1	848.16278076171875	1	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Female	1	5	5	2	1	4	One bill	Some form of central heating	Yes	69	East Midlands	Not London	52.92678155	-0.80578746	229	0.8822942430987535	0.9286273052027391	0.7587724376561353	0.6010921734481467
1600	19e4	4	2011	5	3 or more adults, 1-2 children, incl. at least one couple	4	Owned with mortgage	2	1	0	2	Wants to move	Not expecting to move	4428.85	0	2	3	Monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1962	Male	3	1	5	2	0	1	One bill	Some form of central heating	Yes	49	East Midlands	Not London	52.92678155	-0.80578746	229	0.9197419080378062	0.9135590037438859	0.8043798766651015	0.5117662727140687
1400	125e3	4	2011	2	2 adults, not a couple, both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Expect moving	2805.22	0	3	2	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1980	Male	1	2	5	4	4	1	Separate	Some form of central heating	Yes	31	East Midlands	Not London	52.92678155	-0.80578746	229	0.9114565156852393	0.9016965273282513	0.7850659886179749	0.5117662727140687
1400	125e3	4	2011	2	2 adults, not a couple, both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to move	Not expecting to move	2805.22	262.5853576660156	1	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Male	1	1	5	5	1	2	Separate	Some form of central heating	Yes	64	East Midlands	Not London	52.92678155	-0.80578746	229	0.9114565156852393	0.9016965273282513	0.7850659886179749	0.5505804238401865
750	1e5	4	2011	3	3 or more adults, no children, incl. at least one couple	2	Owned with mortgage	2	0	1	1	Wants to move	Not expecting to move	5213.51	200	1	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1948	Male	3	5	5	5	4	1	One bill	Some form of central heating	Yes	63	East Midlands	Not London	52.92678155	-0.80578746	229	0.8794958432861221	0.8965444531150499	0.8123994801398766	0.5428269044413244
750	1e5	4	2011	3	3 or more adults, no children, incl. at least one couple	2	Owned with mortgage	2	0	1	1	Wants to stay	Not expecting to move	5213.51	200	2	3	No monthly savings	Looking after family or home	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1948	Female	3	5	5	5	2	3	One bill	Some form of central heating	Yes	63	East Midlands	Not London	52.92678155	-0.80578746	229	0.8794958432861221	0.8965444531150499	0.8123994801398766	0.5428269044413244
750	1e5	4	2011	3	3 or more adults, no children, incl. at least one couple	2	Owned with mortgage	2	0	1	1	Wants to stay	Not expecting to move	5213.51	138.165771484375	2	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1977	Male	3	2	4	4	3	2	One bill	Some form of central heating	Yes	34	East Midlands	Not London	52.92678155	-0.80578746	229	0.8794958432861221	0.8965444531150499	0.8123994801398766	0.5343909092852502
1600	15e4	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	2	0	Wants to stay	Not expecting to move	4256.71	138.165771484375	1	1	Monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Male	3	5	5	2	1	1	Separate	Some form of central heating	Yes	67	East Midlands	Not London	52.92678155	-0.80578746	229	0.9197419080378062	0.906497856712875	0.802519631815057	0.5343909092852502
1600	15e4	4	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	2	0	Wants to stay	Not expecting to move	4256.71	0	1	1	No monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Female	3	5	5	5	1	2	Separate	Some form of central heating	Yes	64	East Midlands	Not London	52.92678155	-0.80578746	229	0.9197419080378062	0.906497856712875	0.802519631815057	0.5117662727140687
660	14e4	4	2011	2	Couple both under pensionable age, no children	2	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3396.59	85	1	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1960	Male	2	5	5	1	1	5	Separate	Some form of central heating	Yes	51	East Midlands	Not London	52.92678155	-0.80578746	229	0.8742811279807857	0.9046163482722873	0.7925940972950025	0.5263906069415236
